Nominal diameter in inches;Outside diameter in mm;Wall thickness in mm;Weight in kg/m;Cost per m (304 L);Cost per m (316 L);Pressure in bar
0.5;21.34;2.11;0.99;10.7;13.0;202.69
0.75;26.67;2.11;1.27;14.0;18.0;162.19
1.0;33.4;2.77;2.08;18.0;23.0;170.01
1.25;42.16;2.77;2.69;22.2;26.0;134.69
1.5;48.26;2.77;3.1;38.6;44.9;117.66
2.0;60.32;2.77;3.92;24.0;34.0;94.14
2.5;73.02;3.05;5.25;32.0;40.0;85.63
3.0;88.9;3.05;6.44;40.0;49.0;70.33
4.0;114.3;3.05;8.34;57.0;64.1;54.7
5.0;141.3;3.4;11.56;75.0;93.0;49.33
6.0;168.27;3.4;13.82;97.4;120.0;41.42
8.0;219.07;3.76;19.92;104.0;133.0;35.19
10.0;273.05;4.19;27.75;180.0;210.0;31.46
12.0;323.85;4.57;35.96;194.0;228.0;28.93
